K,TREES,MULT,TREE_TIME,INIT_TIME,DESCENT_TIME,TOTAL_MATH,ITERS,RECALL
30,12,6,217.229,497.083,949.914,1664.84,7,76.505
30,12,7,217.41,498.638,1048.12,1764.79,7,77.1656
30,12,8,217.463,498.702,1150.38,1867.18,7,77.5918
30,12,9,216.85,497.266,1254.22,1969.08,7,77.8731
30,16,6,263.707,663.746,821.669,1749.77,6,78.2608
30,16,7,263.336,661.994,1035.74,1961.72,7,78.9664
30,16,8,263.563,664.159,1138.93,2067.32,7,79.3658
30,16,9,263.405,662.113,1242.38,2168.55,7,79.6226
30,20,6,348.015,827.343,812.932,1988.96,6,79.497
30,20,7,347.931,827.177,895.226,2071.04,6,80.097
30,20,8,348.635,829.854,983.625,2162.98,6,80.4777
30,20,9,347.657,827.103,1073.24,2248.66,6,80.7225
30,24,6,394.637,992.49,807.768,2195.73,6,80.419
30,24,7,394.849,995.804,891.411,2282.7,6,81.0034
30,24,8,394.499,992.729,976.001,2363.88,6,81.3681
30,24,9,395.085,994.771,1068.25,2458.75,6,81.6019
50,12,6,217.359,501.487,1939.75,2659.72,7,83.3455
50,12,7,217.013,499.617,2060.51,2778.27,7,84.0074
50,12,8,216.739,499.986,2193.56,2911.43,7,84.4546
50,12,9,216.726,500.427,2337.25,3055.51,7,84.7665
50,16,6,263.092,664.797,1674.55,2603.63,6,84.3002
50,16,7,263.257,665.092,1777.67,2707.13,6,84.9202
50,16,8,263.206,665.415,1892.6,2822.29,6,85.3328
50,16,9,263.486,665.733,2014.59,2944.88,6,85.6199
50,20,6,348.62,833.083,1662.34,2845.16,6,84.9549
50,20,7,347.567,830.527,1764.2,2943.42,6,85.5516
50,20,8,348.444,831.526,1878.93,3059.97,6,85.9478
50,20,9,348.684,832.874,1998.03,3180.66,6,86.2186
50,24,6,394.525,996.054,1652.19,3043.83,6,85.4373
50,24,7,394.583,996.376,1753.85,3145.97,6,86.0151
50,24,8,394.982,998.647,1868.54,3263.27,6,86.3969
50,24,9,394.339,998.465,1984.48,3378.34,6,86.6575
70,12,6,216.818,501.947,2889.73,3609.98,6,86.0994
70,12,7,216.796,502.497,3015.06,3735.82,6,86.7068
70,12,8,216.816,502.816,3151.29,3872.51,6,87.1264
70,12,9,217.025,503.343,3300.6,4022.5,6,87.4248
70,16,6,263.392,668.171,2865.22,3798.3,6,86.7338
70,16,7,263.266,668.151,2983.19,3916.14,6,87.303
70,16,8,263.604,669.437,3116.26,4050.78,6,87.6945
70,16,9,263.495,668.063,3257.25,4190.33,6,87.9696
70,20,6,347.971,833.538,2847.26,4030.28,6,87.1314
70,20,7,347.821,833.369,2960.94,4143.61,6,87.6812
70,20,8,347.673,833.447,3089.23,4271.85,6,88.0559
70,20,9,348.519,836.133,3232.56,4418.71,6,88.3185
70,24,6,394.878,1001.28,2836.88,4234.58,6,87.4124
70,24,7,395.105,1000.58,2948.89,4346.07,6,87.9521
70,24,8,394.41,998.706,3073.26,4467.95,6,88.3171
70,24,9,394.242,998.872,3212.86,4607.66,6,88.5719
90,12,6,216.471,504.567,4431.82,5154.81,6,87.5327
90,12,7,216.65,504.145,4563.63,5286.34,6,88.0876
90,12,8,217.227,505.229,4712.43,5436.79,6,88.4734
90,12,9,216.535,505.741,4878.68,5602.92,6,88.7516
90,16,6,262.977,670.575,4399.59,5335.05,6,87.9783
90,16,7,262.902,669.77,4530.37,5464.99,6,88.4954
90,16,8,263.194,671.376,4680.21,5616.66,6,88.852
90,16,9,262.798,669.724,4836.91,5771.32,6,89.1112
90,20,6,348.262,838.206,4381.16,5569.59,6,88.2359
90,20,7,348.597,838.227,4501.91,5690.69,6,88.7386
90,20,8,347.969,838.162,4636.14,5824.26,6,89.0856
90,20,9,348.721,837.85,4789.33,5977.81,6,89.3322
90,24,6,394.722,1002.49,3676.05,5075.22,5,88.3874
90,24,7,394.74,1001.86,3787.28,5185.86,5,88.8821
90,24,8,395.294,1005.33,4609.7,6012.26,6,89.2483
90,24,9,395.107,1003.92,4764.41,6165.32,6,89.49
