K,TREES,LEAF,TREE_TIME,INIT_TIME,DESCENT_TIME,TOTAL_MATH,ITERS,RECALL
40,14,16,264.887,147.912,1663.54,2077.21,7,80.3845
40,14,32,255.818,292.283,1634.6,2183.62,7,81.4916
40,14,64,246.121,580.905,1614.37,2442.23,7,82.6176
40,14,128,235.99,1154.55,1387.89,2779.27,6,83.7606
40,14,256,224.353,2302.29,1373.17,3900.65,6,84.8577
40,16,16,282.117,169.152,1655.08,2107.19,7,81.027
40,16,32,272.153,333.672,1626.17,2232.93,7,82.0937
40,16,64,261.38,662.499,1399.27,2324.05,6,83.1052
40,16,128,249.976,1318.83,1381.14,2950.8,6,84.2544
40,16,256,237.258,2629.94,1367.32,4235.36,6,85.2963
40,18,16,363.561,190.287,1646.86,2201.6,7,81.5567
40,18,32,351.344,375.419,1620.91,2348.64,7,82.5739
40,18,64,337.338,745.878,1394.29,2478.35,6,83.5655
40,18,128,324.519,1481.82,1375.13,3182.32,6,84.6647
40,18,256,307.218,2954.43,1362.47,4624.97,6,85.6627
45,14,16,264.398,148.114,1947.41,2361.06,7,82.0447
45,14,32,255.997,292.621,1912.54,2462.19,7,82.9889
45,14,64,245.626,581.339,1888.44,2716.36,7,83.9397
45,14,128,236.141,1157.59,1621.23,3015.91,6,84.9123
45,14,256,223.851,2302.5,1605.57,4132.88,6,85.8493
45,16,16,282.074,169.188,1937.28,2389.49,7,82.6038
45,16,32,272.25,334.226,1902.99,2510.52,7,83.4984
45,16,64,261.433,663.041,1636.06,2561.48,6,84.3548
45,16,128,249.903,1318.81,1613.89,3183.56,6,85.3309
45,16,256,236.967,2629.02,1597.75,4464.69,6,86.2211
45,18,16,364.425,190.858,1928.75,2484.99,7,83.0598
45,18,32,352.3,376.297,1896.4,2626.05,7,83.9123
45,18,64,338.209,746.142,1628.98,2714.3,6,84.7457
45,18,128,324.704,1482.7,1607.83,3416.19,6,85.6752
45,18,256,308.488,2960.27,1592.08,4861.8,6,86.528
50,14,16,264.239,148.591,2250.11,2663.99,7,83.3521
50,14,32,255.782,293.525,2210.4,2760.85,7,84.1633
50,14,64,245.968,583.395,2181.72,3012.16,7,84.9762
50,14,128,236.365,1159.17,1874.3,3270.9,6,85.811
50,14,256,224.306,2308.81,1852.9,4387.08,6,86.6157
50,16,16,282.139,169.715,2238.86,2691.77,7,83.838
50,16,32,272.156,334.978,2198.49,2806.77,7,84.6031
50,16,64,261.317,664.199,1888.56,2815.14,6,85.3326
50,16,128,249.801,1320.39,1863.26,3434.52,6,86.1692
50,16,256,237.223,2630.21,1845.96,4714.45,6,86.9323
50,18,16,364.982,191.308,2229.79,2787.18,7,84.2386
50,18,32,352.271,377.214,2190.86,2921.54,7,84.9634
50,18,64,338.069,747.737,1882.04,2968.95,6,85.6702
50,18,128,325.32,1485.45,1857.37,3669.19,6,86.4664
50,18,256,307.491,2956.27,1839,5103.82,6,87.1968
55,14,16,263.886,148.618,2580.9,2994.57,7,84.3958
55,14,32,255.426,293.394,2533,3083.08,7,85.1047
55,14,64,245.968,582.177,2176.43,3005.81,6,85.7565
55,14,128,235.906,1156.65,2145.26,3538.98,6,86.5204
55,14,256,224.132,2307.77,2123.49,4656.55,6,87.2209
55,16,16,282.541,169.898,2568.95,3022.55,7,84.8233
55,16,32,272.135,335.094,2523.02,3131.5,7,85.4866
55,16,64,261.872,665.49,2166.45,3094.99,6,86.1161
55,16,128,249.912,1320.84,2136.9,3708.82,6,86.833
55,16,256,237.249,2633.57,2118.25,4990.23,6,87.4946
55,18,16,365.054,191.326,2557.85,3115.58,7,85.1751
55,18,32,351.728,377.248,2190.18,2920.41,6,85.7529
55,18,64,337.969,747.614,2157.4,3244.15,6,86.406
55,18,128,324.71,1484.93,2129.49,3940.3,6,87.0892
55,18,256,308.668,2962.81,1783.13,5055.83,5,87.6824
60,14,16,264.156,149.073,2935.52,3350.01,7,85.2373
60,14,32,256.003,294.517,2881.77,3433.65,7,85.8701
60,14,64,245.727,583.077,2472.72,3302.8,6,86.4309
60,14,128,235.768,1159.4,2437.89,3834.33,6,87.097
60,14,256,224.707,2307.75,2413.42,4947.15,6,87.7034
60,16,16,282.322,170.388,2921.76,3375.78,7,85.6222
60,16,32,272.467,336.006,2868.5,3478.33,7,86.2036
60,16,64,261.597,666.441,2463.14,3392.45,6,86.746
60,16,128,250.099,1322.6,2428.97,4002.96,6,87.3673
60,16,256,237.196,2637.93,2407.98,5284.37,6,87.9428
60,18,16,364.422,191.917,2910.03,3467.64,7,85.9322
60,18,32,352.526,378.455,2491.72,3224.05,6,86.4354
60,18,64,337.767,749.27,2451.56,3539.87,6,86.9994
60,18,128,324.565,1486.28,2418.29,4230.41,6,87.5883
60,18,256,308.48,2959.49,2026.29,5295.53,5,88.1049
